"name";"haeufigkeit_gesamt"
"1                                       ";5
"2016                                    ";1
"2A                                      ";4
"60Minutes                               ";1
"ActOnClimate                            ";2
"ADA                                     ";1
"AIDSFreeGeneration                      ";1
"AIPAC2016                               ";1
"ALConvention2016                        ";1
"AlwaysTrump                             ";2
"AmericaFirst                            ";61
"AmericaFIRST                            ";1
"AmericaGreatAgain                       ";1
"AmericanSamoa                           ";1
"APAHM                                   ";1
"Arizona                                 ";1
"ArizonaPrimary                          ";2
"ArmedForcesDay                          ";1
"ArmyBDay                                ";1
"AsLongAsItTakes                         ";1
"AZ                                      ";1
"AZPrimary                               ";3
"Benghazi                                ";1
"BikersForTrump                          ";1
"BlackMenForBernie                       ";1
"BlacksForTrump                          ";1
"BlackWomensEqualPay                     ";1
"brexit                                  ";1
"Brexit                                  ";1
"BrexitVote                              ";4
"Brussels                                ";1
"BuildTheWall                            ";1
"Bush                                    ";1
"CA4Trump                                ";1
"campaignfinance                         ";1
"CAPrimary                               ";2
"Caribbean                               ";1
"Carrier                                 ";1
"CaucusForTrump                          ";8
"CBNNews                                 ";1
"ChangeAgents                            ";1
"Charleston9                             ";1
"CincoDeMayo                             ";1
"CitizensUnited                          ";2
"Clinton                                 ";1
"ClintonKaine                            ";2
"CNN                                     ";1
"CoastGuardDay                           ";1
"Colbert                                 ";1
"CommanderInChiefForum                   ";1
"CommonCore                              ";1
"CommonLaw                               ";1
"CreatorsAskHRC                          ";2
"CripTheVote                             ";1
"CrookedHillary                          ";14
"Cruz                                    ";1
"CruzFraud                               ";1
"CTPrimary                               ";1
"DACA                                    ";1
"DavidCameron                            ";1
"DDay                                    ";2
"debate                                  ";4
"Debate                                  ";1
"debatenight                             ";19
"DebateNight                             ";33
"Debates2016                             ";14
"Decision2016                            ";1
"DeclareYourAmbition                     ";1
"DefendtheSecond                         ";1
"DemConvention                           ";14
"DemocraticSitIn                         ";1
"DemPlatform                             ";4
"DemsinPhilly                            ";2
"DemsInPhilly                            ";51
"DemsinPHL                               ";1
"DemsInPHL                               ";3
"DEPrimary                               ";1
"Derp                                    ";1
"DisarmHate                              ";3
"DivoDeJuarez                            ";1
"Diwali                                  ";1
"DNC                                     ";1
"DNCinPHL                                ";1
"Donald                                  ";1
"DonaldTrump                             ";1
"dtmag                                   ";1
"EarthDay                                ";1
"EastVillage                             ";1
"EauClaire                               ";1
"ECONOMY                                 ";1
"election2016                            ";1
"ElectionDay                             ";1
"Elkhart                                 ";1
"EndCommonCore                           ";1
"EndGunViolence                          ";1
"Enjoy                                   ";1
"enough                                  ";1
"Enough                                  ";1
"EstoyConElla                            ";2
"Excellent                               ";1
"extremevetting                          ";1
"FAIL                                    ";1
"fairandbalancedmyass                    ";1
"FallonTonight                           ";1
"FeelTheBern                             ";1
"FightForFamilies                        ";3
"Filibuster                              ";1
"FirstInPOTUS                            ";1
"FITN                                    ";24
"fixdemocracyfirst                       ";1
"FlashbackFriday                         ";1
"FNS                                     ";1
"Ford                                    ";1
"Fox                                     ";1
"FoxNews                                 ";3
"Frozen                                  ";1
"GIBill                                  ";1
"GO                                      ";1
"GoldenGlobe                             ";1
"goodtrouble                             ";1
"GoodTrouble                             ";1
"GOP                                     ";2
"GOPConvention                           ";4
"GOPdebate                               ";1
"GOPDebate                               ";20
"GOPinCLE                                ";1
"GPLFers                                 ";1
"Greta                                   ";1
"gunviolence                             ";1
"GunViolence                             ";1
"HaileyPuckett                           ";1
"Hannity                                 ";3
"HarveyPitt                              ";1
"Hillary2016                             ";1
"HillaryClinton                          ";1
"HillaryKaine2016                        ";1
"HillaryOnCNN                            ";1
"HillaryOnGMA                            ";1
"HispanicHeritageMonth                   ";1
"HistoryMade                             ";1
"holdthefloor                            ";1
"HoustonFlood                            ";1
"HRC4PA                                  ";1
"IACaucus                                ";15
"IAPolitics                              ";1
"ICYMI                                   ";5
"imwithher                               ";1
"ImWithHer                               ";18
"ImWithHernandez                         ";1
"imwithyou                               ";1
"Imwithyou                               ";2
"ImWithYou                               ";48
"Indiana                                 ";1
